"Year","Amount"
2000,1010367.0800000001
2001,992112.2400000003
2002,1089619.8999999992
2003,966608.2099999997
2004,968985.1100000002
2005,957717.2200000006
2006,871441.9899999995
2007,854848.9300000002
2008,884742.2400000003
2009,794766.8000000003
2010,756834.4700000001
2011,930408.4100000004
2012,917650.1899999994
2013,798265.9000000003
2014,861048.8699999996
2015,949757.4800000004
2016,957265.3999999997
2017,1047147.8200000002
2018,974776.7400000001
2019,1029593.269999999
2020,1017474.6000000001
